SYMBOL,NAME,SECTOR,PRICE,PRICE_EARNINGS,DIVIDEND_YIELD,EARNINGS_SHARE,WEEK_LOW,WEEK_HIGH,MARKET_CAP,EBITDA,PRICE_SALES,PRICE_BOOK,SEC_FILINGS
DTE,DTE Energy,Multi-Utilities,121,16,0,7,102,132,25007443968.00,3448000000,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DTE
DUK,Duke Energy,Electric Utilities,108,19,0,6,90,121,83227205632.00,14106000384,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
DD,DuPont,Specialty Chemicals,76,60,0,1,61,90,31869069312.00,2977999872,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DD
EMN,Eastman Chemical Company,Specialty Chemicals,91,12,0,7,81,115,10585175040.00,1684000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMN
ETN,Eaton Corporation,Electrical Components & Equipment,332,35,0,9,232,380,131155025920.00,5449999872,5,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETN
EBAY,eBay,Broadline Retail,62,16,0,4,40,68,29674049536.00,2619000064,3,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
ECL,Ecolab,Specialty Chemicals,234,33,0,7,193,263,66350518272.00,3538599936,4,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
EIX,Edison International,Electric Utilities,80,23,0,3,63,89,30910056448.00,6444000256,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX
EW,Edwards Lifesciences,Health Care Equipment,74,29,,3,59,96,43662893056.00,2052400000,7,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
EA,Electronic Arts,Interactive Home Entertainment,146,38,0,4,125,169,38370541568.00,1890000000,5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
ELV,Elevance Health,Managed Health Care,369,13,0,27,362,567,85556396032.00,11347999744,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ELV
EMR,Emerson Electric,Electrical Components & Equipment,124,44,0,3,92,135,70581977088.00,4614000128,4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
ENPH,Enphase Energy,Semiconductor Materials & Equipment,69,149,,0,58,142,9279149056.00,102900000,7,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ENPH
ETR,Entergy,Electric Utilities,76,18,0,4,48,79,32512829440.00,4596974080,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
EOG,EOG Resources,Oil & Gas Exploration & Production,123,10,0,12,109,140,68945117184.00,13168000000,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
EPAM,EPAM Systems,IT Consulting & Other Services,234,30,,8,169,318,13262598144.00,659422016,3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EPAM
EQT,EQT Corporation,Oil & Gas Exploration & Production,46,61,0,1,30,48,27513100288.00,2601137920,6,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT
EFX,Equifax,Research & Consulting Services,255,57,0,4,213,310,31589167104.00,1697699968,6,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX
EQIX,Equinix,Data Center REITs,943,85,0,11,684,994,90977763328.00,3352907008,11,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
EQR,Equity Residential,Multi-Family Residential REITs,72,30,0,2,57,79,28064833536.00,1796182016,10,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
ERIE,Erie Indemnity,Insurance Brokers,412,39,0,11,321,547,21555466240.00,710918720,6,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ERIE
ESS,Essex Property Trust,Multi-Family Residential REITs,285,33,0,9,223,318,19010275328.00,1109452032,11,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
EL,Estée Lauder Companies (The),Personal Care Products,75,134,0,1,62,160,26916169728.00,2438000128,2,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
EG,Everest Group,Reinsurance,362,6,0,64,344,407,15578022912.00,,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EG
EVRG,Evergy,Electric Utilities,62,17,0,4,48,65,14155022336.00,2564199936,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EVRG
ES,Eversource Energy,Electric Utilities,57,,0,-2,52,69,21042466816.00,4149131008,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
EXC,Exelon,Electric Utilities,38,15,0,2,33,41,37821800448.00,7148000256,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines",186,24,,8,107,192,23914711040.00,1720000000,2,18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE
EXPD,Expeditors International,Air Freight & Logistics,111,22,0,5,109,132,15505140736.00,1006916992,2,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
EXR,Extra Space Storage,Self-Storage REITs,150,40,0,4,131,185,32995926016.00,2260791040,10,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR
XOM,ExxonMobil,Integrated Oil & Gas,108,13,0,8,96,126,472779816960.00,71537999872,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FFIV,"F5, Inc.",Communications Equipment,251,26,,10,159,265,14739889152.00,782097984,5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
FDS,FactSet,Financial Exchanges & Data,480,34,0,14,392,500,18245261312.00,831163008,8,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDS
FICO,Fair Isaac,Application Software,1991,97,,21,1106,2403,48474963968.00,747456000,28,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FICO
FAST,Fastenal,Trading Companies & Distributors,72,36,0,2,61,85,41196236800.00,1693200000,6,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
FRT,Federal Realty Investment Trust,Retail REITs,112,33,0,3,96,118,9582091264.00,739025984,8,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FRT
FDX,FedEx,Air Freight & Logistics,281,18,0,16,234,314,67758612480.00,10885000192,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
FIS,Fidelity National Information Services,Transaction & Payment Processing Services,81,83,0,1,58,92,43482849280.00,3571000064,4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
FITB,Fifth Third Bancorp,Regional Banks,42,14,0,3,32,49,28068929536.00,,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FITB
FSLR,First Solar,Semiconductors,176,15,,12,136,307,18867902464.00,1716966016,5,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FSLR
FE,FirstEnergy,Electric Utilities,40,26,0,2,35,45,22925889536.00,3924000000,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FE
FI,Fiserv,Transaction & Payment Processing Services,205,40,,5,131,223,116867334144.00,8766000128,6,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FI
FMC,FMC Corporation,Fertilizers & Agricultural Chemicals,49,4,0,12,48,69,6068278272.00,703299968,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FMC
F,Ford Motor Company,Automobile Manufacturers,10,11,0,1,9,15,39345467392.00,9360000000,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
FTNT,Fortinet,Systems Software,94,47,,2,55,101,72414478336.00,1727900032,13,80,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTNT
FTV,Fortive,Industrial Machinery & Supplies & Components,75,30,0,3,66,87,26021175296.00,1698499968,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTV
FOXA,Fox Corporation (Class A),Broadcasting,49,12,0,4,28,51,21541490688.00,3025999872,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
FOX,Fox Corporation (Class B),Broadcasting,46,11,0,4,26,48,21496977408.00,3025999872,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX
BEN,Franklin Resources,Asset Management & Custody Banks,20,24,0,1,19,29,10631615488.00,1688400000,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BEN
FCX,Freeport-McMoRan,Copper,38,28,0,1,36,55,54718300160.00,9900000256,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
GRMN,Garmin,Consumer Electronics,206,26,0,8,119,223,39607074816.00,1596897024,7,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
IT,Gartner,IT Consulting & Other Services,484,36,,14,411,559,37369257984.00,1298909952,6,35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IT
GE,GE Aerospace,Aerospace & Defense,167,33,0,5,99,195,180515143680.00,8935000064,3,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
GEHC,GE HealthCare,Health Care Equipment,78,21,0,4,71,95,35718332416.00,3571000064,2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEHC
GEV,GE Vernova,Heavy Electrical Equipment,329,78,0,4,119,357,90670538752.00,1396999936,3,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEV
GEN,Gen Digital,Systems Software,27,28,0,1,19,32,16874183680.00,1808999936,4,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GEN
GNRC,Generac,Electrical Components & Equipment,155,32,,5,109,196,9225056256.00,660542976,2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GNRC
GD,General Dynamics,Aerospace & Defense,263,20,0,13,247,317,72451579904.00,5402999808,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
GIS,General Mills,Packaged Foods & Meats,64,14,0,5,61,76,35151998976.00,4214599936,2,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
GM,General Motors,Automobile Manufacturers,53,6,0,9,34,61,58575691776.00,18371000320,0,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
GPC,Genuine Parts Company,Distributors,117,15,0,8,113,164,16233843712.00,2055010944,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
GILD,Gilead Sciences,Biotechnology,92,1026,0,0,62,99,115117957120.00,13948999680,4,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
GPN,Global Payments,Transaction & Payment Processing Services,112,21,0,5,92,142,28518709248.00,4356144128,3,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPN
GL,Globe Life,Life & Health Insurance,112,9,0,12,39,132,9361557504.00,1495667968,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GL
GDDY,GoDaddy,Internet Services & Infrastructure,197,16,,12,100,211,27708973056.00,1015600000,6,78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GDDY
GS,Goldman Sachs,Investment Banking & Brokerage,573,17,0,34,372,613,179751157760.00,,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
HAL,Halliburton,Oil & Gas Equipment & Services,27,10,0,3,26,42,23886471168.00,5112000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
HIG,Hartford (The),Property & Casualty Insurance,109,11,0,10,81,125,31714076672.00,4254000128,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG
HAS,Hasbro,Leisure Products,56,,0,-5,46,73,7799500288.00,772200000,2,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
HCA,HCA Healthcare,Health Care Facilities,300,13,0,22,269,417,76027092992.00,13747000320,1,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
DOC,Healthpeak Properties,Health Care REITs,20,41,0,0,16,23,14177710080.00,1400305024,6,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOC
HSIC,Henry Schein,Health Care Distributors,69,28,,2,64,83,8627924992.00,922000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
HSY,Hershey Company (The),Packaged Foods & Meats,169,19,0,9,167,212,34268821504.00,2952748032,3,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
HES,Hess Corporation,Integrated Oil & Gas,133,16,0,9,124,164,40982773760.00,6984999936,3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES
HPE,Hewlett Packard Enterprise,"Technology Hardware, Storage & Peripherals",21,11,0,2,14,24,28082296832.00,4909000192,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE
HLT,Hilton Worldwide,"Hotels, Resorts & Cruise Lines",247,53,0,5,178,259,60252663808.00,2456999936,13,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT
HOLX,Hologic,Health Care Equipment,72,22,,3,70,85,16360175616.00,1242700032,4,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
HD,Home Depot (The),Home Improvement Retail,389,26,0,15,324,439,386408251392.00,24757999616,2,67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
HON,Honeywell,Industrial Conglomerates,226,26,0,9,190,243,146884296704.00,9164000256,4,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
HRL,Hormel Foods,Packaged Foods & Meats,31,21,0,1,29,37,17222537216.00,1353831040,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
HST,Host Hotels & Resorts,Hotel & Resort REITs,18,17,0,1,16,21,12413428736.00,1515000064,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
HWM,Howmet Aerospace,Aerospace & Defense,109,42,0,3,53,121,44432764928.00,1772000000,6,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM
HPQ,HP Inc.,"Technology Hardware, Storage & Peripherals",33,12,0,3,27,40,30600349696.00,5045000192,1,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
HUBB,Hubbell Incorporated,Industrial Machinery & Supplies & Components,419,30,0,14,315,481,22482036736.00,1266200064,4,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUBB
HUM,Humana,Managed Health Care,254,22,0,11,213,475,30549475328.00,3779000064,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM
HBAN,Huntington Bancshares,Regional Banks,16,16,0,1,12,18,23637219328.00,,4,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
HII,Huntington Ingalls Industries,Aerospace & Defense,189,11,0,18,184,300,7394264064.00,1071000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII
IBM,IBM,IT Consulting & Other Services,220,32,0,7,158,239,203264704512.00,14675999744,3,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
IEX,IDEX Corporation,Industrial Machinery & Supplies & Components,209,32,0,6,190,246,15848128512.00,862700032,5,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IEX
IDXX,Idexx Laboratories,Health Care Equipment,413,40,,10,399,583,33854412800.00,1299420032,9,21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX
ITW,Illinois Tool Works,Industrial Machinery & Supplies & Components,254,22,0,12,233,279,74876264448.00,4652000256,5,22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
INCY,Incyte,Biotechnology,69,767,,0,50,84,13306335232.00,80491000,3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY
IR,Ingersoll Rand,Industrial Machinery & Supplies & Components,90,44,0,2,74,106,36456464384.00,1901100032,5,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR
PODD,Insulet Corporation,Health Care Equipment,261,44,,6,160,280,18312704000.00,410600000,9,16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PODD
INTC,Intel,Semiconductors,20,,0,-4,19,50,86475644928.00,10439000064,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
ICE,Intercontinental Exchange,Financial Exchanges & Data,149,35,0,4,124,168,85558116352.00,5558000128,9,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
IFF,International Flavors & Fragrances,Specialty Chemicals,85,,0,-9,73,107,21617913856.00,1876000000,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF
IP,International Paper,Paper & Plastic Packaging Products & Materials,54,46,0,1,33,60,18697498624.00,1955000064,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
IPG,Interpublic Group of Companies (The),Advertising,28,13,0,2,27,35,10437870592.00,1732099968,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
INTU,Intuit,Application Software,629,61,0,10,557,715,175927836672.00,4496000000,11,10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU
ISRG,Intuitive Surgical,Health Care Equipment,522,84,,6,320,556,185911197696.00,2505100032,24,12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG
IVZ,Invesco,Asset Management & Custody Banks,17,,0,-1,14,19,7856210944.00,1053000000,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ
INVH,Invitation Homes,Single-Family Residential REITs,32,44,0,1,31,38,19585013760.00,1407630976,8,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INVH
IQV,IQVIA,Life Sciences Tools & Services,197,26,,8,188,262,35666563072.00,2827000064,2,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IQV
IRM,Iron Mountain,Other Specialized REITs,105,292,0,0,65,130,30845581312.00,2001980032,5,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM
JBHT,J.B. Hunt,Cargo Ground Transportation,171,31,0,6,153,220,17207648256.00,1577556992,1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT
SJM,J.M. Smucker Company (The),Packaged Foods & Meats,110,22,0,5,106,135,11718530048.00,1977900032,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
JBL,Jabil,Electronic Manufacturing Services,144,14,0,11,96,157,16072622080.00,2143000064,1,9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBL
JKHY,Jack Henry & Associates,Transaction & Payment Processing Services,175,32,0,5,157,190,12789765120.00,571171968,6,7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JKHY
J,Jacobs Solutions,Construction & Engineering,134,28,0,5,105,151,16571151360.00,1476304000,1,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=J
JNJ,Johnson & Johnson,Pharmaceuticals,145,24,0,6,143,169,348190015488.00,30051999744,4,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
JCI,Johnson Controls,Building Products,79,38,0,2,52,87,52266262528.00,3232000000,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JCI
JPM,JPMorgan Chase,Diversified Banks,240,13,0,18,164,254,674865152000.00,,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM
JNPR,Juniper Networks,Communications Equipment,37,49,0,1,29,40,12399283200.00,498500000,2,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
K,Kellanova,Packaged Foods & Meats,81,27,0,3,52,81,27910195200.00,2032000000,2,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=K
KVUE,Kenvue,Personal Care Products,21,39,0,1,18,24,40933502976.00,3454000128,3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KVUE
KDP,Keurig Dr Pepper,Soft Drinks & Non-alcoholic Beverages,32,19,0,2,29,38,43569172480.00,4230000128,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KDP
KEYS,Keysight Technologies,Electronic Equipment & Instruments,161,46,,4,120,175,27816777728.00,1187000064,6,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KEYS
KMB,Kimberly-Clark,Household Products,131,17,0,8,118,149,43699871744.00,3897999872,2,34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
KIM,Kimco Realty,Retail REITs,23,43,0,1,18,26,15793718272.00,1195842048,8,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM
KMI,Kinder Morgan,Oil & Gas Storage & Transportation,27,24,0,1,16,29,60872933376.00,6568999936,4,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI
KKR,KKR,Asset Management & Custody Banks,148,46,0,3,79,164,136491057152.00,,5,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KKR
KLAC,KLA Corporation,Semiconductor Materials & Equipment,630,29,0,22,542,896,84284850176.00,4249192960,8,24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KLAC
KHC,Kraft Heinz,Packaged Foods & Meats,31,28,0,1,30,39,37133611008.00,6446000128,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KHC
KR,Kroger,Food Retail,61,16,0,4,44,64,44248510464.00,8067999744,0,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR
LHX,L3Harris,Aerospace & Defense,210,33,0,6,200,266,39883386880.00,3705999872,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LHX
LH,LabCorp,Health Care Services,229,44,0,5,192,248,19180163072.00,1673500032,2,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LH
LRCX,Lam Research,Semiconductor Materials & Equipment,72,23,0,3,69,113,92937625600.00,4920197120,6,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX
LW,Lamb Weston,Packaged Foods & Meats,67,26,0,3,53,112,9532697600.00,1294400000,1,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LW
LVS,Las Vegas Sands,Casinos & Gaming,51,25,0,2,37,57,37237334016.00,3863000064,3,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LVS
LDOS,Leidos,Diversified Support Services,144,16,0,9,106,203,19222358016.00,2056999936,1,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LDOS
LEN,Lennar,Homebuilding,136,10,0,14,134,194,36854538240.00,5534482944,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LEN
LLY,Lilly (Eli),Pharmaceuticals,772,83,0,9,579,973,694271934464.00,16566500352,17,49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY
LIN,Linde plc,Industrial Gases,419,32,0,13,396,487,199353090048.00,12581000192,6,5,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LIN
LYV,Live Nation Entertainment,Movies & Entertainment,130,146,,1,87,141,29862572032.00,1534734976,1,103,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYV
LKQ,LKQ Corporation,Distributors,37,14,0,3,36,54,9553529856.00,1732000000,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LKQ
LMT,Lockheed Martin,Aerospace & Defense,486,18,0,28,414,619,115184795648.00,10225999872,2,16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT
L,Loews Corporation,Multi-line Insurance,85,11,0,8,70,87,18341906432.00,3233999872,1,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=L
LOW,Lowe's,Home Improvement Retail,247,21,0,12,210,287,139355619328.00,12433000448,2,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
LULU,Lululemon Athletica,"Apparel, Accessories & Luxury Goods",382,28,,14,226,509,46571421696.00,2699964928,5,11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LULU
LYB,LyondellBasell,Specialty Chemicals,74,11,0,7,73,107,24119701504.00,4421000192,1,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB
MTB,M&T Bank,Regional Banks,188,14,0,14,128,226,31194804224.00,,4,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTB
MRO,Marathon Oil,Oil & Gas Exploration & Production,29,12,0,2,22,30,15971154944.00,4180999936,2,1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRO
MPC,Marathon Petroleum,Oil & Gas Refining & Marketing,140,11,0,13,131,221,44833763328.00,10341000192,0,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC
MKTX,MarketAxess,Financial Exchanges & Data,226,31,0,7,192,297,8522702336.00,412735008,10,6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MKTX
MAR,Marriott International,"Hotels, Resorts & Cruise Lines",279,29,0,10,205,295,77515472896.00,4112999936,12,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAR
MMC,Marsh McLennan,Insurance Brokers,212,26,0,8,188,236,104319221760.00,7246000128,4,8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMC
MLM,Martin Marietta Materials,Construction Materials,517,16,0,32,480,633,31567499264.00,1945500032,5,3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MLM
MAS,Masco,Building Products,73,19,0,4,64,87,15656904704.00,1494000000,2,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS
MA,Mastercard,Transaction & Payment Processing Services,527,40,0,13,417,538,483302277120.00,16784000000,18,65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA
MTCH,Match Group,Interactive Media & Services,33,15,0,2,28,42,8213186560.00,993089984,2,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MTCH
MKC,McCormick & Company,Packaged Foods & Meats,76,26,0,3,64,85,20460681216.00,1270200064,3,4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MKC
MCD,McDonald's,Restaurants,290,25,0,11,244,318,207740993536.00,13845499904,8,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD
MCK,McKesson Corporation,Health Care Distributors,570,29,0,19,463,638,72344371200.00,4889999872,0,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK
MDT,Medtronic,Health Care Equipment,80,24,0,3,76,93,102429327360.00,9013000192,3,2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT
